algo,threads,rounds,wall_total_s,wall_avg_us,cpu_total_s,cpu_avg_us,file
mp1,2,10,0.119201,11920.083,0.11868,11868.0,logs/mp1 - 2t_3441414.out
mp1,2,10,0.132273,13227.293,0.129729,12972.9,logs/mp1 - 2t_3441423.out
mp1,2,10,0.140736,14073.553,0.14029,14029.0,logs/mp1 - 2t_3441431.out
mp1,4,10,0.224542,22454.23,0.223445,22344.5,logs/mp1 - 4t_3441415.out
mp1,4,10,0.225412,22541.177,0.224621,22462.1,logs/mp1 - 4t_3441424.out
mp1,4,10,0.216687,21668.655,0.214085,21408.5,logs/mp1 - 4t_3441432.out
mp1,6,10,0.277816,27781.556,0.27656,27656.0,logs/mp1 - 6t_3441416.out
mp1,6,10,0.274743,27474.341,0.273878,27387.8,logs/mp1 - 6t_3441425.out
mp1,6,10,0.276826,27682.604,0.275963,27596.3,logs/mp1 - 6t_3441433.out
mp1,8,10,0.327421,32742.061,0.32603,32603.0,logs/mp1 - 8t_3441417.out
mp1,8,10,0.327548,32754.811,0.3259,32590.0,logs/mp1 - 8t_3441426.out
mp1,8,10,0.324625,32462.54,0.323543,32354.3,logs/mp1 - 8t_3441434.out
mp2,2,10,0.125496,12549.569,0.12495,12495.0,logs/mp2 - 2t_3441418.out
mp2,2,10,0.140378,14037.812,0.139843,13984.3,logs/mp2 - 2t_3441427.out
mp2,2,10,0.117389,11738.877,0.11682,11682.0,logs/mp2 - 2t_3441435.out
mp2,4,10,0.291537,29153.693,0.290568,29056.8,logs/mp2 - 4t_3441419.out
mp2,4,10,0.287692,28769.174,0.286658,28665.8,logs/mp2 - 4t_3441428.out
mp2,4,10,0.281966,28196.634,0.28077,28077.0,logs/mp2 - 4t_3441436.out
mp2,6,10,0.498147,49814.686,0.496431,49643.1,logs/mp2 - 6t_3441420.out
mp2,6,10,0.553685,55368.546,0.551995,55199.5,logs/mp2 - 6t_3441429.out
mp2,6,10,0.625238,62523.801,0.618229,61822.9,logs/mp2 - 6t_3441437.out
mp2,8,10,0.536559,53655.866,0.534752,53475.2,logs/mp2 - 8t_3441421.out
mp2,8,10,0.667508,66750.758,0.665416,66541.6,logs/mp2 - 8t_3441430.out
mp2,8,10,0.648225,64822.457,0.6411,64110.0,logs/mp2 - 8t_3441438.out
